id,type,name,status,description,epic,startTime,duration
3,EPIC,New Epic33231,NEW,This is a new epic,,null,PT0S
11,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
13,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
16,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
18,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
23,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
25,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
30,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
32,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
37,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
39,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
44,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
46,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
51,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
53,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
58,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
60,EPIC,Epic Title,NEW,Epic Description,,null,PT0S
5,TASK,New Task10,NEW,This is a new task,,2024-05-22T19:00,PT2H
7,TASK,Task Title,NEW,Task Description,,null,PT0S
9,TASK,Task Title,NEW,Task Description,,null,PT0S
14,SUBTASK,Subtask Title,NEW,Subtask Description,13,null,PT0S
19,SUBTASK,Subtask Title,NEW,Subtask Description,18,null,PT0S
21,TASK,Task Title,NEW,Task Description,,null,PT0S
26,SUBTASK,Subtask Title,NEW,Subtask Description,25,null,PT0S
28,TASK,Task Title,NEW,Task Description,,null,PT0S
33,SUBTASK,Subtask Title,NEW,Subtask Description,32,null,PT0S
35,TASK,Task Title,NEW,Task Description,,null,PT0S
40,SUBTASK,Subtask Title,NEW,Subtask Description,39,null,PT0S
42,TASK,Task Title,NEW,Task Description,,null,PT0S
47,SUBTASK,Subtask Title,NEW,Subtask Description,46,null,PT0S
49,TASK,Task Title,NEW,Task Description,,null,PT0S
54,SUBTASK,Subtask Title,NEW,Subtask Description,53,null,PT0S
56,TASK,Task Title,NEW,Task Description,,null,PT0S
61,SUBTASK,Subtask Title,NEW,Subtask Description,60,null,PT0S
63,TASK,Task Title,NEW,Task Description,,null,PT0S


